LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
119100,CASPER,WY,82604,541940,Corporation,White,Male Owned,Unanswered,,16,04/08/2020,Hilltop National Bank,WY - 00
119088.4,GILLETTE,WY,82716,238990,Corporation,White,Male Owned,Non-Veteran,,15,04/07/2020,First Northern Bank of Wyoming,WY - 00
118948,LARAMIE,WY,82070,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",WY - 02
118882,BIG PINEY,WY,83113,327320,Corporation,White,Male Owned,Non-Veteran,,9,04/07/2020,RSNB Bank,WY - 00
118757,CHEYENNE,WY,82009,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/27/2020,Wyoming Bank & Trust,WY - 00
118502,CHEYENNE,WY,82001,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,05/01/2020,"JPMorgan Chase Bank, National Association",WY - 00
118495,CHEYENNE,WY,82001,811111,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1,04/30/2020,Bank of the West,WY - 00
118457.5,CHEYENNE,WY,82001,561110,Corporation,Unanswered,Male Owned,Unanswered,,8,04/13/2020,Pinnacle Bank,WY - 00
118437,CODY,WY,82414,213111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/07/2020,First National Bank Baird d/b/a First Bank Texas,WY - 00
118400,LARAMIE,WY,82070,541330,Corporation,Unanswered,Unanswered,Unanswered,,8,04/04/2020,ANB Bank,WY - 02
118400,GILLETTE,WY,82718,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,04/04/2020,VISIONBank,WY - 00
118382.5,JACKSON,WY,83001,238210,Corporation,Unanswered,Unanswered,Unanswered,,9,04/09/2020,Glacier Bank,WY - 00
118300,RIVERTON,WY,82501,484110,Corporation,White,Male Owned,Unanswered,,9,04/03/2020,Central Bank & Trust,WY - 00
118300,GREEN RIVER,WY,82935,621210,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,0,04/07/2020,Live Oak Banking Company,WY - 00
118277.5,RIVERTON,WY,82501,722513,Corporation,Unanswered,Unanswered,Unanswered,,35,04/08/2020,First Interstate Bank,WY - 00
118200,THERMOPOLIS,WY,82443,541211,Corporation,Unanswered,Male Owned,Non-Veteran,,14,04/27/2020,Pinnacle Bank-Wyoming,WY - 00
118162,RIVERTON,WY,82501,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/07/2020,First Interstate Bank,WY - 00
118087.5,HILLSDALE,WY,82060,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/07/2020,First Interstate Bank,WY - 00
118000,MILLS,WY,82644,339950,Corporation,White,Female Owned,Unanswered,,12,04/10/2020,Jonah Bank of Wyoming,WY - 00
118000,BAR NUNN,WY,82601,722511,Corporation,White,Male Owned,Unanswered,,30,04/04/2020,Platte Valley Bank,WY - 00
118000,WORLAND,WY,82401,484220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/06/2020,ANB Bank,WY - 00
117936,JACKSON,WY,83001,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,,04/27/2020,Rocky Mountain Bank,WY - 00
117882,MORAN,WY,83013,721214,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,17,04/09/2020,First Western Trust Bank,WY - 00
117800,CHEYENNE,WY,82009,722513,Corporation,White,Male Owned,Non-Veteran,,40,04/06/2020,Jonah Bank of Wyoming,WY - 00
117782,ROCK SPRINGS,WY,82901,621320,Corporation,White,Male Owned,Non-Veteran,,10,04/07/2020,RSNB Bank,WY - 00
117707.5,DOUGLAS,WY,82633,511110,Partnership,Unanswered,Unanswered,Unanswered,,41,04/28/2020,Glacier Bank,WY - 00
117700,SHERIDAN,WY,82801,811121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/06/2020,First Federal Bank & Trust,WY - 00
117700,JACKSON,WY,83001,541519,Corporation,Unanswered,Unanswered,Unanswered,,6,04/07/2020,Bank of Jackson Hole,WY - 00
117622,CHEYENNE,WY,82009,238220,Corporation,Unanswered,Unanswered,Unanswered,,6,05/01/2020,"JPMorgan Chase Bank, National Association",WY - 00
117620,CODY,WY,82414,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/05/2020,Glacier Bank,WY - 00
117528,CASPER,WY,82601,541330,Corporation,Unanswered,Unanswered,Unanswered,,8,04/14/2020,First Interstate Bank,WY - 00
117500,CHEYENNE,WY,82001,624310,Corporation,Hispanic,Female Owned,Non-Veteran,,9,04/29/2020,Arizona FCU,WY - 00
117500,SHERIDAN,WY,82801,441310,Corporation,Unanswered,Unanswered,Unanswered,,14,04/04/2020,First Federal Bank & Trust,WY - 00
117430,JACKSON,WY,83001,531311,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/11/2020,Rocky Mountain Bank,WY - 00
117382,DANIEL,WY,83115,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,44,04/14/2020,Rocky Mountain Bank,WY - 00
117337,CODY,WY,82414,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/04/2020,Glacier Bank,WY - 00
117336,POWELL,WY,82435,511110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,25,04/05/2020,Glacier Bank,WY - 00
117300,CASPER,WY,82604,238390,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,10,04/15/2020,ANB Bank,WY - 00
117300,SHERIDAN,WY,82801,541512,Corporation,Unanswered,Male Owned,Unanswered,,9,04/04/2020,First Federal Bank & Trust,WY - 00
117200,PINEDALE,WY,82941,624120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,23,04/27/2020,Bank of Jackson Hole,WY - 00
117200,JACKSON,WY,83001,312120,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,24,04/06/2020,Bank of Jackson Hole,WY - 00
117100,WORLAND,WY,82401,423840,Corporation,Unanswered,Female Owned,Unanswered,,10,04/04/2020,Security State Bank,WY - 00
117100,CHEYENNE,WY,82001,236220,Corporation,Unanswered,Unanswered,Unanswered,,8,04/28/2020,ANB Bank,WY - 00
117095,CHEYENNE,WY,82001,722410,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,25,04/11/2020,First Interstate Bank,WY - 00
117000,CHEYENNE,WY,82001,443142,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/15/2020,ANB Bank,WY - 00
116882,SHERIDAN,WY,82801,453920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/11/2020,"TD Bank, National Association",WY - 00
116863.4,JACKSON,WY,83001,541410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/15/2020,First Interstate Bank,WY - 00
116800,ALPINE,WY,83128,541320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/15/2020,Bank of Jackson Hole,WY - 00
116800,LANDER,WY,82520,621210,Corporation,White,Male Owned,Non-Veteran,,9,04/03/2020,Central Bank & Trust,WY - 00
116673,BUFFALO,WY,82834,811121,Corporation,Unanswered,Unanswered,Unanswered,,11,04/10/2020,First Interstate Bank,WY - 00
116652,CODY,WY,82414,811121,Subchapter S Corporation,White,Unanswered,Unanswered,,9,04/09/2020,Glacier Bank,WY - 00
116600,CASPER,WY,82601,561710,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,17,04/08/2020,Hilltop National Bank,WY - 00
116421.62,PINE BLUFFS,WY,82082,111140,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,04/07/2020,Farmers State Bank,WY - 03
116330,CASPER,WY,82601,721110,Corporation,Asian,Male Owned,Unanswered,,30,04/10/2020,Metro City Bank,WY - 00
116330,CASPER,WY,82601,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,04/28/2020,Hilltop National Bank,WY - 00
116323,CHEYENNE,WY,82001,442110,Subchapter S Corporation,White,Male Owned,Unanswered,,13,04/13/2020,Western States Bank,WY - 00
116276,GILLETTE,WY,82718,441320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/15/2020,First Interstate Bank,WY - 00
116250,CHEYENNE,WY,82009,621112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/13/2020,First Interstate Bank,WY - 00
116100,JACKSON,WY,83001,721110,Corporation,Unanswered,Unanswered,Unanswered,,7,05/06/2020,Bank of Jackson Hole,WY - 00
116100,LYMAN,WY,82937,551112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/15/2020,"Zions Bank, A Division of",WY - 00
116085,CASPER,WY,82609,486110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,04/13/2020,First Interstate Bank,WY - 00
115986,ROCK SPRINGS,WY,82901,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/08/2020,Rocky Mountain Bank,WY - 00
115900,PINEDALE,WY,82941,213111,Corporation,Unanswered,Unanswered,Unanswered,,8,04/14/2020,Bank of Jackson Hole,WY - 00
115839,JACKSON,WY,83001,488410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/11/2020,First Interstate Bank,WY - 00
115824.25,CHEYENNE,WY,82009,561730,Corporation,White,Male Owned,Unanswered,,37,04/08/2020,Wyoming Bank & Trust,WY - 00
115812,SHERIDAN,WY,82801,424920,Subchapter S Corporation,White,Male Owned,Non-Veteran,,17,04/06/2020,First Northern Bank of Wyoming,WY - 00
115750,BUFFALO,WY,82834,532412,Corporation,Unanswered,Male Owned,Unanswered,,8,04/05/2020,First Northern Bank of Wyoming,WY - 00
115600,MANDERSON,WY,82432,112111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,04/28/2020,ANB Bank,WY - 00
115410,CODY,WY,82414,441320,Corporation,Unanswered,Unanswered,Unanswered,,19,04/08/2020,Glacier Bank,WY - 00
115400,JACKSON,WY,83001,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,04/12/2020,First Interstate Bank,WY - 00
115400,JACKSON,WY,83001,484210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/13/2020,First Interstate Bank,WY - 00
115100,JACKSON,WY,83001,445110,Subchapter S Corporation,White,Unanswered,Unanswered,,13,04/28/2020,Bank of Jackson Hole,WY - 00
115100,JACKSON,WY,83002,541940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/08/2020,Bank of Jackson Hole,WY - 00
115000,GILLETTE,WY,82716,811111,Subchapter S Corporation,White,Female Owned,Non-Veteran,,8,04/03/2020,Security State Bank,WY - 00
115000,TORRINGTON,WY,82240,238110,Corporation,Unanswered,Unanswered,Unanswered,,13,04/04/2020,Pinnacle Bank-Wyoming,WY - 00
115000,LARAMIE,WY,82070,621310,Corporation,White,Male Owned,Unanswered,,16,04/04/2020,ANB Bank,WY - 02
115000,CASPER,WY,82601,722410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,04/05/2020,Hilltop National Bank,WY - 00
115000,CASPER,WY,82601,541940,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,6,04/07/2020,Hilltop National Bank,WY - 00
115000,CHEYENNE,WY,82009,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/15/2020,First Interstate Bank,WY - 00
114926.82,GILLETTE,WY,82718,446110,Corporation,White,Female Owned,Non-Veteran,,12,04/07/2020,First Interstate Bank,WY - 00
114844.95,CHEYENNE,WY,82001,621111,Subchapter S Corporation,White,Male Owned,Unanswered,,13,04/09/2020,Western States Bank,WY - 00
114805,LANDER,WY,82520,621111,Corporation,Unanswered,Unanswered,Unanswered,,9,04/08/2020,First Interstate Bank,WY - 00
114700,TORRINGTON,WY,82240,445110,Corporation,White,Female Owned,Unanswered,,34,04/04/2020,Platte Valley Bank,WY - 00
114600,BUFFALO,WY,82834,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/03/2020,Security State Bank,WY - 00
114600,DIXON,WY,82323,236115,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,0,04/05/2020,Yampa Valley Bank,WY - 00
114600,WRIGHT,WY,82732,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,04/08/2020,ANB Bank,WY - 00
114500,CHEYENNE,WY,82009,453220,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,12,06/27/2020,Radius Bank,WY - 00
114365,ROCK SPRINGS,WY,82901,811191,Corporation,White,Male Owned,Non-Veteran,,11,04/08/2020,RSNB Bank,WY - 00
114285,CHEYENNE,WY,82001,722511,Subchapter S Corporation,White,Male Owned,Unanswered,,64,04/09/2020,Western States Bank,WY - 00
114232,EVANSTON,WY,82930,532420,Corporation,Unanswered,Male Owned,Non-Veteran,,12,04/07/2020,Uinta Bank,WY - 01
114223,SHERIDAN,WY,82801,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,20,04/27/2020,Cowboy State Bank,WY - 00
114190,CASPER,WY,82609,237990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,04/11/2020,First Interstate Bank,WY - 00
114090,WILSON,WY,83014,453998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/13/2020,Rocky Mountain Bank,WY - 00
114062,RIVERTON,WY,82501,424810,Partnership,Unanswered,Unanswered,Unanswered,,15,04/10/2020,First Interstate Bank,WY - 00
113958,JACKSON,WY,83001,238320,Corporation,Unanswered,Unanswered,Unanswered,,12,04/13/2020,First Interstate Bank,WY - 00
113900,CODY,WY,82414,441310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/03/2020,Pinnacle Bank-Wyoming,WY - 00
113634,DOUGLAS,WY,82633,562910,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,3,04/28/2020,Hilltop National Bank,WY - 00
113561,CHEYENNE,WY,82001,621112,Subchapter S Corporation,White,Female Owned,Unanswered,,8,04/14/2020,Western States Bank,WY - 00
113500,EVANSVILLE,WY,82636,722511,Corporation,White,Male Owned,Non-Veteran,,16,04/03/2020,Jonah Bank of Wyoming,WY - 00
113400,CHEYENNE,WY,82009,446110,Subchapter S Corporation,White,Female Owned,Unanswered,,14,04/04/2020,Jonah Bank of Wyoming,WY - 00
113377,JACKSON,WY,83001,,Corporation,Unanswered,Male Owned,Non-Veteran,,7,05/03/2020,"U.S. Bank, National Association",WY - 00
113315,CASPER,WY,82604,331210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/30/2020,First Interstate Bank,WY - 00
113260,CASPER,WY,82601,531120,Subchapter S Corporation,White,Male Owned,Non-Veteran,,10,04/28/2020,First Interstate Bank,WY - 00
113240,PINEDALE,WY,82941,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/07/2020,Rocky Mountain Bank,WY - 00
113212,EVANSVILLE,WY,82636,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,04/30/2020,Bank of the West,WY - 00
113200,LARAMIE,WY,82070,721199,Corporation,White,Female Owned,Non-Veteran,,24,04/03/2020,Pinnacle Bank-Wyoming,WY - 02
113110,CHEYENNE,WY,82001,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,33,04/13/2020,First Interstate Bank,WY - 00
113110,CHEYENNE,WY,82001,812210,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,14,04/07/2020,Wyoming Bank & Trust,WY - 00
113100,LARAMIE,WY,82072,621111,Partnership,Unanswered,Unanswered,Unanswered,,20,04/06/2020,ANB Bank,WY - 00
113000,GILLETTE,WY,82718,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/27/2020,First Federal Bank & Trust,WY - 00
112832,JACKSON,WY,83001,722513,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,10,04/07/2020,First Interstate Bank,WY - 00
112800,AFTON,WY,83110,562111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,05/01/2020,Bank of Star Valley,WY - 00
112794,BUFFALO,WY,82834,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,46,04/13/2020,First Interstate Bank,WY - 00
112700,CASPER,WY,82601,624120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,28,04/10/2020,Hilltop National Bank,WY - 00
112600,CASPER,WY,82601,621210,Corporation,White,Male Owned,Non-Veteran,,13,04/04/2020,Hilltop National Bank,WY - 00
112600,GILLETTE,WY,82716,238210,Subchapter S Corporation,White,Male Owned,Non-Veteran,,9,04/04/2020,Security State Bank,WY - 00
112560,JACKSON,WY,83001,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",WY - 00
112547.5,AFTON,WY,83110,541360,Corporation,Unanswered,Unanswered,Unanswered,,18,04/28/2020,Glacier Bank,WY - 00
112500,CASPER,WY,82601,238210,Corporation,White,Male Owned,Non-Veteran,,8,04/03/2020,Jonah Bank of Wyoming,WY - 00
112500,MOORCROFT,WY,82721,238210,Corporation,White,Male Owned,Unanswered,,8,04/03/2020,Sundance State Bank,WY - 00
